Major
No Secondary Major
Accounting
Acting
Advanced Medical Imaging Technology
Aerospace Engineering
Africana Studies
Anthropology
Applied Administration
Applied Administration - Healthcare Leadership
Arabic Language and Culture
Archaeology
Architectural Engineering
Architecture
Art History
Asian Studies
Biochemistry
Biological Sciences
Biological Sciences - Biology of Animals
Biological Sciences - Biomedical Studies
Biological Sciences - Cell & Molecular Biology
Biological Sciences - Ecology & Evolution
Biomedical Engineering
Business Analytics
Business Economics
Chemical Engineering
Chemistry
Chemistry - ACS
Civil Engineering
Classical Civilization
Classics
Commercial Music Production
Communication
Communication Design
Computer Engineering
Computer Science
Construction Management
Criminal Justice
Cybersecurity Engineering
Dance
Digital Media
Early Childhood Education
Early Childhood Education - Birth to Age 5
Economics
Electrical Engineering
Electrical Engineering Technology
"Electrical Engineering Technology - Robotics, Automation & Mechatronics"
English
English - Creative Writing
English - English Education
English - Literary & Cultural Studies
English - Rhetoric & Professional Writing
Entrepreneurship
Environmental Engineering
Environmental Studies
Fashion Business
Fashion Design
Film & Media Studies
Finance
Fine Arts
French
Games and Animation
Geography
Geography - Environmental-Physical
Geography - GIS & Remote Sensing
Geography - Human-Urban Economic
Geosciences
German Studies
Health Informatics
Health Information Management
Health Sciences
Health Sciences - Pre-Athletic Training
Health Sciences - Pre-Medicine
Health Sciences - Pre-Occupational Therapy
Health Sciences - Pre-Pharmacy
Health Sciences - Pre-Physical Therapy
Health Sciences - Pre-Physician Assistant
History
Horticulture
Human Development and Community Engagement
Industrial & Systems Engineering
Industrial Design
Industrial Management
Information Systems
Information Technology
Insurance and Risk Management
Interdisciplinary Studies
Interdisciplinary Studies - Law and Society
Interior Design
International Affairs
International Business
Journalism
Judaic Studies
"Latin American, Caribbean, and Latino/a/x Studies"
Liberal Arts
"Liberal Arts - Medicine, Health & Society"
Marketing
Mathematics
Mathematics - Statistics/Actuarial Sciences
Mechanical Engineering
Mechanical Engineering Technology
Media Production
Media Production - Audio Production
Media Production - Broadcast News
Media Production - Film and Television Production
Media Production - Multimedia
Media Production - Sports Media
Medical Laboratory Science
Medical Sciences
Middle Childhood Education
Middle Childhood Education - Language Arts & Mathematics
Middle Childhood Education - Language Arts & Natural Science
Middle Childhood Education - Mathematics & Natural Science
Middle Childhood Education - Social Studies & Mathematics
Middle Childhood Education - Social Studies & Natural Science
Music
Music Education
Music Performance - Bassoon
Music Performance - Cello
Music Performance - Clarinet
Music Performance - Double Bass
Music Performance - Euphonium
Music Performance - Flute
Music Performance - French Horn
Music Performance - Harpsichord
Music Performance - Oboe
Music Performance - Organ
Music Performance - Percussion
Music Performance - Piano
Music Performance - Saxophone
Music Performance - Trombone
Music Performance - Trumpet
Music Performance - Tuba
Music Performance - Viola
Music Performance - Violin
Music Performance - Voice
Musical Theatre
Neuroscience
"Neuroscience - Brain, Mind, Behavior"
Neuroscience - Neurobiology
Neuroscience - Neuropsychology
Nursing
Nutrition & Dietetics
Operations Management
Organizational Leadership
Organizational Leadership - Non-Profit
Organizational Leadership - Talent Development
Paralegal Studies
Philosophy
Philosophy - Cognitive Studies
Physics
Physics - Astrophysics
Political Science
Political Science - Gender & Multicultural Politics
Psychology
Public Health
Public Relations
Radiation Science
Radiologic Imaging Technology
Real Estate
Respiratory Therapy
Secondary Education
Secondary Education - Integrated Sciences
Secondary Education - Mathematics
Social Justice
Social Work
Sociology
Spanish
Special Education
Speech Language Hearing Sciences
Sport Administration
Statistics
Substance Abuse Counseling
Theatre Design and Production
Urban Planning
Urban Studies
"Women's, Gender, & Sexuality Studies"
